age_group,congruency,source,rt_bin,n_trials,median_rt,accuracy
60-69,1,human,2,500,0.6549999713897705,0.902
60-69,1,human,3,500,0.7279999852180481,0.934
60-69,1,human,4,500,0.8194999992847443,0.964
60-69,1,human,5,500,0.9740000069141388,0.974
60-69,1,model,1,500,0.5532578172604962,0.894
60-69,1,model,2,500,0.6687307252203765,0.898
60-69,1,model,3,500,0.7507184056650626,0.93
60-69,1,model,4,500,0.8328711861929614,0.934
60-69,1,model,5,500,0.9482402242410102,0.978
70-79,0,human,1,500,0.5910000205039978,0.952
70-79,0,human,2,499,0.6660000085830688,0.9799599198396793
70-79,0,human,3,499,0.7250000238418579,0.969939879759519
70-79,0,human,4,499,0.7839999794960022,0.9819639278557114
70-79,0,human,5,499,0.9100000262260436,0.9839679358717435
70-79,0,model,1,500,0.5443105153162293,1.0
70-79,0,model,2,499,0.6690498733429167,1.0
70-79,0,model,3,499,0.7434995545762365,1.0
70-79,0,model,4,499,0.8174117292177703,1.0
70-79,0,model,5,499,0.9319027619915878,1.0
70-79,1,human,1,501,0.6340000033378601,0.8143712574850299
70-79,1,human,2,501,0.7289999723434448,0.8962075848303394
70-79,1,human,3,501,0.7990000247955322,0.93812375249501
70-79,1,human,4,501,0.8790000081062317,0.9600798403193613
70-79,1,human,5,500,1.0264999866485596,0.968
70-79,1,model,1,501,0.6292161453741109,0.8862275449101796
70-79,1,model,2,501,0.7488552893011908,0.9321357285429142
70-79,1,model,3,501,0.8245728410570529,0.9341317365269461
70-79,1,model,4,500,0.9080324279851668,0.956
70-79,1,model,5,500,1.0178489589977886,0.95
80-89,0,human,1,502,0.6639999747276306,0.9721115537848606
80-89,0,human,2,502,0.7414999902248383,0.9920318725099602
80-89,0,human,3,502,0.8230000138282776,0.9940239043824701
80-89,0,human,4,502,0.9575000107288361,0.9940239043824701
80-89,0,human,5,501,1.190999984741211,0.998003992015968
80-89,0,model,1,502,0.5942538521855714,1.0
80-89,0,model,2,502,0.7820966240956331,1.0
80-89,0,model,3,502,0.8979952799037538,1.0
80-89,0,model,4,502,1.0189990139781737,1.0
80-89,0,model,5,501,1.1935475405117868,1.0
80-89,1,human,1,499,0.7200000286102295,0.8837675350701403
80-89,1,human,2,498,0.8299999833106995,0.963855421686747
80-89,1,human,3,498,0.9335000216960908,0.9839357429718876
80-89,1,human,4,498,1.0549999475479126,0.9839357429718876
80-89,1,human,5,498,1.2630000114440918,0.9899598393574297
80-89,1,model,1,499,0.6788968897005856,0.9438877755511023
80-89,1,model,2,498,0.8547364586658386,0.9598393574297188
80-89,1,model,3,498,0.9825672325359522,0.9578313253012049
80-89,1,model,4,498,1.1092137374469027,0.9618473895582329
80-89,1,model,5,498,1.2932387583753968,0.9698795180722891
