age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
80-89,0.36,0.849,0.24,0.2750868486581134,0.04267147878494681,0.014563102420087515,0.03618168817430695,0.0865611292410422,0.11568733408121723,0.02912620484017503,0.017849369736772237,0.030172122586075517,-0.21020642647712207,-0.07168718013534237,0.1385192463417797
20-29,0.37,0.558,0.0,0.46180756881149787,0.08729583812775919,0.019093599493046454,0.05741666448266702,0.04374684900583592,0.08193404799192883,0.03818719898609291,0.06957154590779194,0.10494799780770668,-0.06449539092603063,-0.05753195170459968,0.006963439221430945
20-29,0.37,0.55,0.03,0.3626077243000284,0.06992010646108732,0.019026716187087234,0.052811957546401604,0.04374684900583592,0.08180028138001039,0.03805343237417447,0.02471032172999774,0.05518411235746843,-0.06449539092603063,-0.05628734462271645,0.008208046303314176
20-29,0.37,0.54,0.06,0.2665757299349477,0.04650734814154475,0.018959832881128014,0.03635326757053004,0.04374684900583592,0.08166651476809195,0.03791966576225603,0.01649848477891225,0.01711515074507278,-0.06449539092603063,-0.05504273754083311,0.009452653385197518
20-29,0.37,0.548,0.09,0.20855624809092985,0.025979397956583397,0.018892949575168794,0.018732570720080305,0.04374684900583592,0.0815327481561735,0.03778589915033759,0.017509997144488615,0.017437160423540606,-0.06449539092603063,-0.05379813045894977,0.01069726046708086
20-29,0.37,0.541,0.12,0.2072663510481373,0.0226020942236912,0.018826066269209463,0.02036220365029438,0.04374684900583592,0.08139898154425484,0.037652132538418925,0.018477012745571175,0.022026117433569484,-0.06449539092603063,-0.052553523377066536,0.011941867548964091
20-29,0.37,0.531,0.15,0.2668592143636531,0.040455140664940964,0.018759182963250298,0.03880068683732569,0.04374684900583592,0.08126521493233652,0.037518365926500596,0.01885205559083676,0.029160669285084744,-0.06449539092603063,-0.051308916295183304,0.013186474630847322
20-29,0.37,0.531,0.18,0.35540284495838803,0.0684831608417556,0.018692299657291023,0.06614672169488173,0.04374684900583592,0.08113144832041796,0.037384599314582045,0.019063053270659443,0.035995608763648636,-0.06449539092603063,-0.05006430921329974,0.014431081712730887
20-29,0.37,0.531,0.21,0.43889632650853566,0.09699936918596835,0.018458476439518423,0.09351530881176762,0.04374684900583592,0.08066380188487277,0.036916952879036846,0.01924058211177613,0.03608640025578259,-0.06449539092603063,-0.048710073166047474,0.015785317759983153
20-29,0.37,0.533,0.24,0.5241008566720733,0.12596867126703154,0.017993528722763552,0.12166341739725837,0.04374684900583592,0.07973390645136302,0.035987057445527104,0.019437077969694922,0.037351667159179376,-0.06449539092603063,-0.045268850726276844,0.019226540199753783
