analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,63060,3875,congruent,2,2,2,True,3,0.03,0.5081968526482542,0.13028179109096527,0.08579883724451065,0.04448295384645462,0,2,False,False,0.09610163420438766,0.02389836579561233,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.122240349650383,1.8973876237869263,1.8973876237869263
young_20_29,58294,2918,incongruent,2,1,1,False,11,0.11,0.6783981315713752,0.09317587316036224,0.12238642573356628,-0.02921055257320404,0,1,True,True,0.1211957111954689,-0.001195711195468907,-1,,WRONG-COMMITMENT -> ERROR,True,27.0,0.16,-0.6683789491653442,FAST ERROR,0.09817400574684143,0.28695422410964966,0.9553332328796387
young_20_29,36192,5675,incongruent,2,3,2,True,30,0.3,1.0466653890834066,0.12455064803361893,0.09854289144277573,0.0260077565908432,0,3,True,True,0.1063987985253334,0.013601201474666591,21,0.21,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3467200696468353,SLOW CORRECT,0.1218469887971878,0.30529913306236267,0.652019202709198
young_20_29,4857,4790,congruent,0,0,0,True,4,0.04,0.5952027329714668,0.12593035399913788,0.08574262261390686,0.04018773138523102,0,0,False,False,0.09680145978927612,0.023198540210723873,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1200893446803093,1.527638554573059,1.527638554573059
young_20_29,12222,1478,congruent,3,3,3,True,4,0.04,0.26793296083146945,0.13085462152957916,0.08339353650808334,0.04746108502149582,0,3,False,False,0.09620264917612076,0.023797350823879238,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12428301572799683,1.6878125667572021,1.6878125667572021
young_20_29,104656,5675,congruent,1,1,1,True,6,0.06,0.5798986438622311,0.12430766969919205,0.08185938000679016,0.042448289692401886,0,1,False,False,0.09678998589515686,0.023210014104843135,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1205677017569542,1.2433418035507202,1.2433418035507202
young_20_29,21715,2918,incongruent,2,0,2,True,43,0.43,0.7122920247983588,0.12168890982866287,0.06623639911413193,0.055452510714530945,0,0,True,True,0.10642706602811813,0.013572933971881862,18,0.18,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.4284254014492035,FAST CORRECT,0.12034410983324051,0.22435517609119415,0.6527805328369141
young_20_29,36745,2918,congruent,0,0,0,True,4,0.04,0.4625311788885426,0.13394972681999207,0.08486370742321014,0.04908601939678192,0,0,False,False,0.09663960337638855,0.023360396623611446,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12616980075836182,1.7552404403686523,1.7552404403686523
young_20_29,5778,5256,incongruent,0,1,0,True,17,0.17,0.6485240075483553,0.12579131126403809,0.09994204342365265,0.025849267840385437,0,1,True,True,0.1089063435792923,0.011093656420707698,11,0.11,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.11500386893749237,FAST CORRECT,0.1221800222992897,0.6171604990959167,0.7321643233299255
young_20_29,72341,3875,incongruent,1,2,1,True,15,0.15,0.5168747863259778,0.1234625056385994,0.0995115339756012,0.0239509716629982,0,2,True,True,0.10385536402463913,0.016144635975360866,5,0.05,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.13768994808197021,FAST CORRECT,0.12089899182319641,0.7487565279006958,0.6110665798187256
