source,congruent_error_rate,incongruent_error_rate,h2_rt_cost_s,h2_accuracy_cost,h3_caf_slope_per_s,h3_slow_minus_fast,h4_delta_slope,h5_correct_skew_congruent,h5_correct_skew_incongruent,h6_error_minus_correct_congruent_s,h6_error_minus_correct_incongruent_s,mean_rt_s,accuracy,h5_congruent_q10_s,h5_congruent_q50_s,h5_congruent_q95_s,h5_congruent_q99_s,h5_congruent_q95_minus_q10_s,h5_incongruent_q10_s,h5_incongruent_q50_s,h5_incongruent_q95_s,h5_incongruent_q99_s,h5_incongruent_q95_minus_q10_s,h5_congruent_mean_rt_s,h5_congruent_median_rt_s,h5_congruent_sd_rt_s,h5_congruent_skewness,h5_congruent_q25_s,h5_congruent_q75_s,h5_congruent_q90_s,h5_congruent_q95_over_q50,h5_congruent_upper_lower_spread_ratio,h5_incongruent_mean_rt_s,h5_incongruent_median_rt_s,h5_incongruent_sd_rt_s,h5_incongruent_skewness,h5_incongruent_q25_s,h5_incongruent_q75_s,h5_incongruent_q90_s,h5_incongruent_q95_over_q50,h5_incongruent_upper_lower_spread_ratio,h3_fastest_accuracy,h3_slowest_accuracy,h4_late_minus_early_s,h6_interaction_s,age_group,h1_abs_distance,h2_rt_cost_abs_distance_s,h2_accuracy_cost_abs_distance,h3_slope_abs_distance,h3_curve_rmse,h4_slope_abs_distance,h4_curve_rmse_s,h5_wasserstein_congruent_s,h5_wasserstein_incongruent_s,h6_incongruent_abs_distance_s
C0v2,0.0,0.044346783859368744,0.0669391093266518,0.04399988305670099,0.24919957161244122,0.07463392899784384,-0.0035764821372507483,-0.033474212188988155,0.04357382032623462,,-0.05170478696582015,0.6648519347750804,0.9778,0.5151704825472906,0.6340354474878178,0.7805140834133742,0.8369986731068434,0.2639748319013192,0.5817671263391243,0.6974084921538415,0.8516439600073068,0.9068859812707697,0.26998825666320847,0.6324732188676472,0.6340354474878178,0.09122937353289466,-0.033474212188988155,0.5718750869313575,0.693291035589149,0.7522047722375359,1.2312424999596059,1.2367351332462697,0.699412328194299,0.6974084921538415,0.09103324464740647,0.04357382032623463,0.6386664438245887,0.7615428295659061,0.8157878113896164,1.2211790973916175,1.3442442292621966,0.9153280160622022,0.9899619450600461,-0.001074372106797132,,50-59,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.044346783859368744,0.0669391093266518,0.04399988305670099,0.24919957161244122,0.07463392899784384,-0.0035764821372507483,-0.033474212188988155,0.04357382032623462,,-0.05170478696582015,0.6648519347750804,0.9778,0.5151704825472906,0.6340354474878178,0.7805140834133742,0.8369986731068434,0.2639748319013192,0.5817671263391243,0.6974084921538415,0.8516439600073068,0.9068859812707697,0.26998825666320847,0.6324732188676472,0.6340354474878178,0.09122937353289466,-0.033474212188988155,0.5718750869313575,0.693291035589149,0.7522047722375359,1.2312424999596059,1.2367351332462697,0.699412328194299,0.6974084921538415,0.09103324464740647,0.04357382032623463,0.6386664438245887,0.7615428295659061,0.8157878113896164,1.2211790973916175,1.3442442292621966,0.9153280160622022,0.9899619450600461,-0.001074372106797132,,50-59,0.009483274032444493,0.006443519350552207,0.0064689746298536785,0.13047149991118373,0.030838070421580883,0.27102240083050366,0.024587530426604512,0.016965551020749405,0.019304871888027417,0.03505971222532689
matched_human,0.018473769632763985,0.08279999999999998,0.08284520719331893,0.06393802331519535,0.40892829781070494,0.17258753606001492,0.21173572379751518,1.390716535433564,1.3498473771910608,-0.06410334853034583,-0.1256311610215025,0.7171763998687267,0.9498,0.5893761958394732,0.6843095194725763,0.9193690507184892,1.0916538127263387,0.4385000169277191,0.6403952404147103,0.7697857107434954,1.0314547679253987,1.2103700009414124,0.5280000567436218,0.7076382466514373,0.6843095194725763,0.1215778123858052,1.390716535433564,0.6314761936664581,0.7560000008060819,0.8474047589869727,1.3389063485019013,2.4285412987359,0.7904834538447562,0.7697857107434954,0.14847606928329066,1.3498473771910608,0.6972142883709499,0.8559880909465608,0.958280941418239,1.340284751128652,2.0392395517092283,0.7986101462826892,0.9711976823427039,0.06741511695836672,-0.061527812491156686,60-69,,,,,,,,,,
C0v2,0.0,0.07320000000000004,0.0791582278054183,0.07686950015555903,0.21133879985180443,0.08732989697360803,0.014387457262928302,0.09444273677182795,-0.06091271006941642,,-0.07229053574486244,0.7176431707691023,0.9634,0.49374541406209793,0.6770281204606375,0.9258787826195596,1.0067171381098166,0.4477672971129752,0.5657336486553923,0.759861585661354,1.0034021301362999,1.0703039906161866,0.45028728729243916,0.6813585208253918,0.6770281204606375,0.14913099419973108,0.09444273677182795,0.5813397352924046,0.7839749894185433,0.8747001097924694,1.367979952407421,1.369056221194041,0.7605167486308103,0.759861585661354,0.15180153197816462,-0.06091271006941643,0.6562567038952183,0.8681674964815933,0.9553430411343735,1.3208704267690083,1.287603106034371,0.8910020214021008,0.9783319183757089,0.00499760027622972,,60-69,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.07320000000000004,0.0791582278054183,0.07686950015555903,0.21133879985180443,0.08732989697360803,0.014387457262928302,0.09444273677182795,-0.06091271006941642,,-0.07229053574486244,0.7176431707691023,0.9634,0.49374541406209793,0.6770281204606375,0.9258787826195596,1.0067171381098166,0.4477672971129752,0.5657336486553923,0.759861585661354,1.0034021301362999,1.0703039906161866,0.45028728729243916,0.6813585208253918,0.6770281204606375,0.14913099419973108,0.09444273677182795,0.5813397352924046,0.7839749894185433,0.8747001097924694,1.367979952407421,1.369056221194041,0.7605167486308103,0.759861585661354,0.15180153197816462,-0.06091271006941643,0.6562567038952183,0.8681674964815933,0.9553430411343735,1.3208704267690083,1.287603106034371,0.8910020214021008,0.9783319183757089,0.00499760027622972,,60-69,0.018473769632763985,0.003686979387900635,0.012931476840363679,0.19758949795890052,0.04567638706285179,0.19734826653458687,0.021518555639862942,0.0237159336730376,0.024012761510245145,0.053340625276640075
matched_human,0.02744283471577455,0.08469836196564118,0.08862649957323067,0.05697104838090321,0.371027904717219,0.17359914100734702,0.21750458295374953,2.723001345342872,2.3383761421239315,-0.10272252463331133,-0.12891993567140259,0.7847625526321438,0.9443888777755551,0.6380062483251094,0.7315312493592501,0.9909218702465296,1.2755562409386039,0.39764995276927917,0.6912624929100275,0.8163124993443489,1.1405968725681301,1.40760686762631,0.4945000410079956,0.7599430706091925,0.7315312493592501,0.1424281209333979,2.723001345342872,0.6761718792840838,0.8047343771904707,0.8951062552630902,1.3532486637468353,2.767552474148296,0.8485695701824232,0.8163124993443489,0.1720218005177367,2.3383761421239315,0.7436718717217445,0.905874996446073,1.0331312622874975,1.3929163341099442,2.5996334578001212,0.7936323226454877,0.9672314636528346,0.08310477202039777,-0.026197411038091256,70-79,,,,,,,,,,
C0v2,0.0,0.06831801837794649,0.09069570497229679,0.06945660276022264,0.14867755647698414,0.06108924117318778,0.028800527891626092,-0.08058091945998333,-0.0013102616039067576,,-0.053429450589480676,0.7864488484342609,0.9657931586317263,0.5491783903917252,0.7451137306466561,0.9811307063762642,1.0604892339238723,0.4383952323569712,0.6392378715739838,0.830496714813559,1.0760749239818717,1.165637736786261,0.44414192142464715,0.7439638085371965,0.7451137306466561,0.14679636974034324,-0.08058091945998333,0.6505374195516731,0.8401234732288151,0.9297834423919654,1.3169777756645495,1.2158220600246799,0.8346595135094932,0.830496714813559,0.15060983957110163,-0.001310261603906758,0.7328930140794586,0.9380935131824941,1.025703684175617,1.2958189713009889,1.2910501996347867,0.8893545858331392,0.950443827006327,0.009082510918385314,,70-79,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.06831801837794649,0.09069570497229679,0.06945660276022264,0.14867755647698414,0.06108924117318778,0.028800527891626092,-0.08058091945998333,-0.0013102616039067576,,-0.053429450589480676,0.7864488484342609,0.9657931586317263,0.5491783903917252,0.7451137306466561,0.9811307063762642,1.0604892339238723,0.4383952323569712,0.6392378715739838,0.830496714813559,1.0760749239818717,1.165637736786261,0.44414192142464715,0.7439638085371965,0.7451137306466561,0.14679636974034324,-0.08058091945998333,0.6505374195516731,0.8401234732288151,0.9297834423919654,1.3169777756645495,1.2158220600246799,0.8346595135094932,0.830496714813559,0.15060983957110163,-0.001310261603906758,0.7328930140794586,0.9380935131824941,1.025703684175617,1.2958189713009889,1.2910501996347867,0.8893545858331392,0.950443827006327,0.009082510918385314,,70-79,0.02744283471577455,0.002069205399066118,0.012485554379319433,0.2223503482402349,0.0451022213421915,0.18870405506212343,0.024113631606687606,0.03467713324370607,0.032482659973064265,0.07549048508192191
matched_human,0.010001238171912813,0.03894018466479321,0.09105210021449053,0.029082725124510794,0.11728294840860845,0.08012864358396674,0.16963125669626783,5.533234744999524,6.1547858040186565,-0.297343414761546,-0.21020642647712207,0.9409453997939825,0.9756,0.7174750015139579,0.8403749987483025,1.1895000115036962,1.7243300208449353,0.668700033426285,0.7751750007271767,0.9321250021457672,1.3199250027537346,1.922030011713509,0.693350052833557,0.8888511322941163,0.8403749987483025,0.25446701351140427,5.533234744999524,0.7696250006556511,0.9414374902844429,1.0683750063180923,1.4128596307843555,2.8657518729198506,0.9799032325086067,0.9321250021457672,0.28318789043054715,6.1547858040186565,0.8415000140666962,1.0417499840259552,1.1975750118494033,1.4154698950123141,2.4683692373009,0.9008959386385182,0.9810245822224849,0.07703293872486061,0.08713698828442396,80-89,,,,,,,,,,
C0v2,0.0,0.04134885588117221,0.09005945238105226,0.04092252003870092,0.03906413663275187,0.02745352805824494,0.026324100610259124,-0.07785820209295966,0.048364792285079075,,-0.04850993745933252,0.9427511271655481,0.9794,0.6020454711148896,0.9005291282781219,1.2695786075751665,1.4288640452442114,0.6717123920453658,0.6837022555927885,0.9873762487295674,1.3834541983987554,1.522852208712675,0.7042151880813385,0.8992734070450823,0.9005291282781219,0.2308160377275752,-0.07785820209295966,0.7526280489230406,1.0541576816251048,1.1976742243819263,1.4097976922999007,1.2407757387895737,0.9893328594261347,0.9873762487295674,0.23563294780350824,0.048364792285079075,0.8291650665812439,1.1507822168398076,1.298507064919969,1.4012631177113672,1.3072236131160597,0.9420713559977725,0.9695248840560173,0.01480267180191816,,80-89,,,,,,,,,,
