rt_bin,rt_coordinate_s,value,age_group,source,signature
3,0.6293654481616419,0.06550438650467458,40-49,C0v2,H4_delta
4,0.6777502043180752,0.06666039904710078,40-49,C0v2,H4_delta
5,0.7547310975375037,0.06400440475983157,40-49,C0v2,H4_delta
1,0.5722715750391653,0.8540067422329762,50-59,matched_human,H3_CAF
2,0.6380150336694657,0.9361437328662988,50-59,matched_human,H3_CAF
3,0.6839135096102641,0.9600613290356237,50-59,matched_human,H3_CAF
4,0.7374320773361497,0.968374081793937,50-59,matched_human,H3_CAF
5,0.8653439703866478,0.9832818588205577,50-59,matched_human,H3_CAF
1,0.5611012329707161,0.04233609960072696,50-59,matched_human,H4_delta
2,0.6144732521462752,0.05921303720770343,50-59,matched_human,H4_delta
3,0.6523384295662837,0.07296547595992472,50-59,matched_human,H4_delta
4,0.700002525615501,0.08432462907395823,50-59,matched_human,H4_delta
5,0.8148835831029675,0.11073083416374696,50-59,matched_human,H4_delta
1,0.5701639846948526,0.9153280160622022,50-59,C0v2,H3_CAF
2,0.6496552822306859,0.9643731905991263,50-59,C0v2,H3_CAF
3,0.696323783546087,0.9517388068283931,50-59,C0v2,H3_CAF
4,0.7455275223771015,0.959217439360891,50-59,C0v2,H3_CAF
5,0.8266393226848863,0.9899619450600461,50-59,C0v2,H3_CAF
1,0.539123911994488,0.06920305982604714,50-59,C0v2,H4_delta
2,0.6184244744398245,0.06683743520352065,50-59,C0v2,H4_delta
3,0.665709346539714,0.06395086044335101,50-59,C0v2,H4_delta
4,0.7148018117018665,0.06570845086095113,50-59,C0v2,H4_delta
5,0.7943809249732695,0.06812868771925001,50-59,C0v2,H4_delta
1,0.6163836921275314,0.7986101462826892,60-69,matched_human,H3_CAF
2,0.7038524427474958,0.9094127162769544,60-69,matched_human,H3_CAF
3,0.7628186304184816,0.9571776112848002,60-69,matched_human,H3_CAF
4,0.8329956132144714,0.9553155860228512,60-69,matched_human,H3_CAF
5,0.9998100430506118,0.9711976823427041,60-69,matched_human,H3_CAF
1,0.6064538211292111,0.04939323329538339,60-69,matched_human,H4_delta
2,0.6776881750248425,0.069191036693032,60-69,matched_human,H4_delta
3,0.7287838539879141,0.0844337588963471,60-69,matched_human,H4_delta
4,0.791692363072333,0.09669709136352071,60-69,matched_human,H4_delta
5,0.950103076588405,0.11680835025375012,60-69,matched_human,H4_delta
1,0.5433409677488659,0.8910020214021008,60-69,C0v2,H3_CAF
2,0.6745876157728832,0.8911756091319212,60-69,C0v2,H3_CAF
3,0.7575630452904947,0.9295622510152791,60-69,C0v2,H3_CAF
4,0.8422862528552364,0.9279421396945783,60-69,C0v2,H3_CAF
5,0.9667095610539569,0.9783319183757089,60-69,C0v2,H3_CAF
1,0.5141183240839344,0.07235201735241838,60-69,C0v2,H4_delta
2,0.6403628788235199,0.0783247938113365,60-69,C0v2,H4_delta
3,0.7213801465197325,0.08346359690559912,60-69,C0v2,H4_delta
4,0.805904532145646,0.08458193123300406,60-69,C0v2,H4_delta
5,0.9331624536164902,0.07734961762864809,60-69,C0v2,H4_delta
1,0.6610914187263863,0.7936323226454876,70-79,matched_human,H3_CAF
2,0.7505545623152594,0.9139882450251402,70-79,matched_human,H3_CAF
3,0.8118266840105002,0.9366382835163761,70-79,matched_human,H3_CAF
4,0.881705548999894,0.9697862467393717,70-79,matched_human,H3_CAF
5,1.0898086290183873,0.9672314636528346,70-79,matched_human,H3_CAF
1,0.6556889104996917,0.05264137786822177,70-79,matched_human,H4_delta
2,0.7242637199809092,0.07149218129531767,70-79,matched_human,H4_delta
3,0.776299571526745,0.08554351760736026,70-79,matched_human,H4_delta
4,0.838832763604428,0.09890224520866576,70-79,matched_human,H4_delta
5,1.0314173712287107,0.13574614988861955,70-79,matched_human,H4_delta
1,0.6190773655544035,0.8893545858331392,70-79,C0v2,H3_CAF
2,0.7520440612505666,0.9182595061535967,70-79,C0v2,H3_CAF
3,0.8319256812991527,0.9496422009372728,70-79,C0v2,H3_CAF
4,0.9162486954782779,0.9465670758639508,70-79,C0v2,H3_CAF
5,1.0435707261281373,0.950443827006327,70-79,C0v2,H3_CAF
1,0.5800429168708019,0.08874222195184461,70-79,C0v2,H4_delta
2,0.7144228250217961,0.08357023186643041,70-79,C0v2,H4_delta
3,0.791879828161638,0.08691060748274097,70-79,C0v2,H4_delta
4,0.8713531877002555,0.0946263717590844,70-79,C0v2,H4_delta
5,0.9962313709912799,0.09782473287022991,70-79,C0v2,H4_delta
1,0.751891838790558,0.9008959386385182,80-89,matched_human,H3_CAF
2,0.8549484383825688,0.9597366315583482,80-89,matched_human,H3_CAF
