source,seed_id,analysis_group,user_id,congruency,rt_bin,n_trials,mean_rt,median_rt,error_rate,scheme
model,5,young_20_29,2918,1,1,162,0.6049822633212829,0.6193931292232989,0.3333333333333333,raw
model,5,young_20_29,2918,1,2,162,0.774225433321726,0.7767039860314946,0.13580246913580246,raw
model,5,young_20_29,2918,1,3,162,0.8841905633935968,0.8804351264830335,0.09876543209876543,raw
model,5,young_20_29,2918,1,4,162,1.0452883795461654,1.0264795367023054,0.024691358024691357,raw
model,5,young_20_29,899,1,1,26,0.6384261870099454,0.6622262504870725,0.2692307692307692,raw
model,5,young_20_29,899,1,2,25,0.7634520732732816,0.7581425273585795,0.28,raw
model,5,young_20_29,899,1,3,25,0.8743312719953437,0.8781070860174619,0.08,raw
model,5,young_20_29,899,1,4,25,1.0447245998537094,1.029655916148444,0.0,raw
model,5,young_20_29,182,1,1,34,0.5968068400569756,0.6191050243227545,0.3235294117647059,raw
model,5,young_20_29,182,1,2,34,0.7627319657757407,0.7561354071919308,0.14705882352941177,raw
model,5,young_20_29,182,1,3,34,0.8832975242824219,0.8785791447168506,0.08823529411764706,raw
model,5,young_20_29,182,1,4,33,1.0431094836338792,1.0336789730960276,0.030303030303030304,raw
model,5,young_20_29,5256,1,1,24,0.6139352277500273,0.645181065481145,0.25,raw
model,5,young_20_29,5256,1,2,23,0.7791713665164006,0.7795206428951378,0.0,raw
model,5,young_20_29,5256,1,3,23,0.8941641268103201,0.8911844850580285,0.13043478260869565,raw
model,5,young_20_29,5256,1,4,23,1.0407545976571204,1.0163967309055473,0.043478260869565216,raw
model,5,young_20_29,3875,0,1,77,0.4282333492082249,0.4442065583142835,0.03896103896103896,raw
model,5,young_20_29,3875,0,2,77,0.5480107944234626,0.5471748874227006,0.025974025974025976,raw
model,5,young_20_29,3875,0,3,77,0.631110417412809,0.6280633151233261,0.012987012987012988,raw
model,5,young_20_29,3875,0,4,76,0.7564446270670553,0.7411039663871193,0.02631578947368421,raw
model,5,young_20_29,899,0,1,26,0.42713342126591053,0.4406329544580469,0.038461538461538464,raw
model,5,young_20_29,899,0,2,26,0.5314529241769764,0.5344246969311253,0.0,raw
model,5,young_20_29,899,0,3,25,0.6274461685887486,0.6265288518502965,0.0,raw
model,5,young_20_29,899,0,4,25,0.748675716250536,0.730560131746012,0.0,raw
model,5,young_20_29,677,0,1,29,0.3975878982804993,0.4012687593864522,0.10344827586206896,raw
model,5,young_20_29,677,0,2,28,0.5431729101843163,0.546856895590466,0.07142857142857142,raw
model,5,young_20_29,677,0,3,28,0.6229073108191623,0.6251883656617303,0.0,raw
model,5,young_20_29,677,0,4,28,0.759429055900914,0.7517798479882356,0.0,raw
model,5,young_20_29,5675,0,1,147,0.4326319310288602,0.4456409907741213,0.013605442176870748,raw
model,5,young_20_29,5675,0,2,147,0.5579018526241454,0.5582284403222552,0.006802721088435374,raw
model,5,young_20_29,5675,0,3,147,0.6419499721660946,0.6415741129562146,0.02040816326530612,raw
model,5,young_20_29,5675,0,4,146,0.7624077015197485,0.7480220126232133,0.0136986301369863,raw
model,5,young_20_29,5675,1,1,145,0.6072356938042598,0.6368542269937226,0.3931034482758621,raw
model,5,young_20_29,5675,1,2,145,0.7806719620043201,0.7823042810881167,0.1103448275862069,raw
model,5,young_20_29,5675,1,3,145,0.8968714440489745,0.899396735428388,0.05517241379310345,raw
model,5,young_20_29,5675,1,4,145,1.0665838469543925,1.0486881047975112,0.013793103448275862,raw
model,5,young_20_29,2553,1,1,27,0.6488188331927683,0.6636190207062667,0.14814814814814814,raw
model,5,young_20_29,2553,1,2,27,0.7990082682132809,0.7989515776526057,0.1111111111111111,raw
model,5,young_20_29,2553,1,3,27,0.9073247374694494,0.9011684471649436,0.07407407407407407,raw
model,5,young_20_29,2553,1,4,26,1.0781456421060986,1.0461492892488171,0.0,raw
model,5,young_20_29,7862,0,1,30,0.46419717102942815,0.4802119843615378,0.0,raw
model,5,young_20_29,7862,0,2,30,0.5666694521545541,0.5662844907217786,0.03333333333333333,raw
model,5,young_20_29,7862,0,3,30,0.6365222521761263,0.6360273982469633,0.03333333333333333,raw
model,5,young_20_29,7862,0,4,30,0.7444082533725755,0.7331754784066279,0.0,raw
model,5,young_20_29,7862,1,1,31,0.6277606664967644,0.684589671858726,0.3225806451612903,raw
model,5,young_20_29,7862,1,2,31,0.7883950115035153,0.7862728390198546,0.06451612903225806,raw
model,5,young_20_29,7862,1,3,30,0.8796172439326566,0.8818818004719949,0.1,raw
model,5,young_20_29,7862,1,4,30,1.0102933682051407,0.9885110071188941,0.0,raw
model,5,young_20_29,677,1,1,29,0.606334938562177,0.6398911290056943,0.3448275862068966,raw
model,5,young_20_29,677,1,2,28,0.7798240588062135,0.773857247908289,0.10714285714285714,raw
model,5,young_20_29,677,1,3,28,0.9024927913819034,0.898920862929872,0.0,raw
model,5,young_20_29,677,1,4,28,1.0506615014572278,1.0071475720882592,0.0,raw
model,5,young_20_29,3875,1,1,77,0.6114469948238525,0.6383983003777258,0.2597402597402597,raw
model,5,young_20_29,3875,1,2,77,0.7645696408793342,0.7663187931443409,0.09090909090909091,raw
model,5,young_20_29,3875,1,3,77,0.864587599060896,0.8616230410654381,0.11688311688311688,raw
model,5,young_20_29,3875,1,4,77,1.0103986258022168,0.9925161816394648,0.05194805194805195,raw
model,5,young_20_29,4790,0,1,25,0.4227055747474344,0.4398163856250925,0.0,raw
model,5,young_20_29,4790,0,2,25,0.5600856335945605,0.5627379308224701,0.04,raw
