candidate_id,seed_id,scheme,distribution_score,error_rate_score,joint_score,rank
current__factorial_gap_gate,6,presentation_floor_60hz,0.12367049751286407,0.022192211353295493,0.14586270886615957,1.0
current__factorial_gap_gate,6,combined_60hz_125hz,0.12390549997153988,0.022192211353295493,0.14609771132483537,1.0
current__factorial_gap_gate,7,raw,0.12240710679809808,0.021524417086530745,0.14393152388462882,1.0
current__factorial_gap_gate,7,presentation_floor_60hz,0.12231455348480774,0.021524417086530745,0.1438389705713385,1.0
current__factorial_gap_gate,7,combined_60hz_125hz,0.12262303426887441,0.021524417086530745,0.14414745135540516,1.0
current__factorial_gap_gate,8,raw,0.1232811571914125,0.02058819811581869,0.1438693553072312,1.0
current__factorial_gap_gate,8,presentation_floor_60hz,0.12311947039647443,0.02058819811581869,0.1437076685122931,1.0
current__factorial_gap_gate,8,combined_60hz_125hz,0.12332828444228063,0.02058819811581869,0.1439164825580993,1.0
current__factorial_gap_gate,9,raw,0.12594624849564845,0.022731612962211017,0.14867786145785947,1.0
current__factorial_gap_gate,9,presentation_floor_60hz,0.12588213453399316,0.022731612962211017,0.14861374749620418,1.0
current__factorial_gap_gate,9,combined_60hz_125hz,0.1261817904675772,0.022731612962211017,0.1489134034297882,1.0
current__factorial_joint_first_passage,0,raw,0.12126018514118393,0.025777404404977083,0.14703758954616103,3.0
current__factorial_joint_first_passage,0,presentation_floor_60hz,0.12120802424880327,0.025777404404977083,0.14698542865378034,3.0
current__factorial_joint_first_passage,0,combined_60hz_125hz,0.12144118452834946,0.025777404404977083,0.14721858893332654,3.0
current__factorial_joint_first_passage,1,raw,0.11986442895248814,0.025911523885169208,0.14577595283765735,3.0
current__factorial_joint_first_passage,1,presentation_floor_60hz,0.119785031597347,0.025911523885169208,0.1456965554825162,3.0
current__factorial_joint_first_passage,1,combined_60hz_125hz,0.1200471908769442,0.025911523885169208,0.14595871476211342,3.0
current__factorial_joint_first_passage,2,raw,0.11965972788940972,0.02537461632378074,0.14503434421319045,3.0
current__factorial_joint_first_passage,2,presentation_floor_60hz,0.11947576595479376,0.02537461632378074,0.1448503822785745,3.0
current__factorial_joint_first_passage,2,combined_60hz_125hz,0.11971528358010845,0.02537461632378074,0.1450898999038892,3.0
current__factorial_joint_first_passage,3,raw,0.12157182222553993,0.02671323328198244,0.14828505550752236,3.0
current__factorial_joint_first_passage,3,presentation_floor_60hz,0.12143800716964356,0.02671323328198244,0.148151240451626,3.0
current__factorial_joint_first_passage,3,combined_60hz_125hz,0.12169302617174163,0.02671323328198244,0.14840625945372407,3.0
current__factorial_joint_first_passage,4,raw,0.11967468904176289,0.026713448102292425,0.1463881371440553,3.0
current__factorial_joint_first_passage,4,presentation_floor_60hz,0.11954314695686717,0.026713448102292425,0.1462565950591596,3.0
current__factorial_joint_first_passage,4,combined_60hz_125hz,0.11983841506591934,0.026713448102292425,0.14655186316821178,3.0
current__factorial_joint_first_passage,5,raw,0.12046410487276582,0.025375475605020625,0.14583958047778645,3.0
current__factorial_joint_first_passage,5,presentation_floor_60hz,0.12031921284528249,0.025375475605020625,0.14569468845030312,3.0
current__factorial_joint_first_passage,5,combined_60hz_125hz,0.12074400540308758,0.025375475605020625,0.1461194810081082,3.0
current__factorial_joint_first_passage,6,raw,0.12053326455444106,0.02577697476435714,0.14631023931879822,3.0
current__factorial_joint_first_passage,6,presentation_floor_60hz,0.12040995246122604,0.02577697476435714,0.14618692722558319,3.0
current__factorial_joint_first_passage,6,combined_60hz_125hz,0.12065608857918919,0.02577697476435714,0.14643306334354633,3.0
current__factorial_joint_first_passage,7,raw,0.11934483426949759,0.02604521372474139,0.145390047994239,3.0
current__factorial_joint_first_passage,7,presentation_floor_60hz,0.11929249716751526,0.02604521372474139,0.14533771089225667,3.0
current__factorial_joint_first_passage,7,combined_60hz_125hz,0.11953189054644899,0.02604521372474139,0.14557710427119036,3.0
current__factorial_joint_first_passage,8,raw,0.12021606537029789,0.026044784084121475,0.14626084945441936,3.0
current__factorial_joint_first_passage,8,presentation_floor_60hz,0.12008830344297736,0.026044784084121475,0.14613308752709883,3.0
current__factorial_joint_first_passage,8,combined_60hz_125hz,0.12027483226851632,0.026044784084121475,0.1463196163526378,3.0
current__factorial_joint_first_passage,9,raw,0.1230737821101558,0.027117525105348594,0.1501913072155044,3.0
current__factorial_joint_first_passage,9,presentation_floor_60hz,0.1230094035263308,0.027117525105348594,0.1501269286316794,3.0
current__factorial_joint_first_passage,9,combined_60hz_125hz,0.12328454965599325,0.027117525105348594,0.15040207476134185,3.0
current__snapshot_nonaccum_exploratory,0,raw,0.03473501823612244,0.32338472272045343,0.3581197409565759,7.0
current__snapshot_nonaccum_exploratory,0,presentation_floor_60hz,0.034579810447038756,0.32338472272045343,0.3579645331674922,7.0
current__snapshot_nonaccum_exploratory,0,combined_60hz_125hz,0.034770673939837224,0.32338472272045343,0.35815539666029067,7.0
current__snapshot_nonaccum_exploratory,1,raw,0.035378592241387244,0.31750099771281465,0.3528795899542019,7.0
current__snapshot_nonaccum_exploratory,1,presentation_floor_60hz,0.035355699122043005,0.31750099771281465,0.35285669683485765,7.0
current__snapshot_nonaccum_exploratory,1,combined_60hz_125hz,0.03533473381460052,0.31750099771281465,0.35283573152741515,7.0
current__snapshot_nonaccum_exploratory,2,raw,0.03614214437836858,0.3169639152985698,0.3531060596769384,7.0
current__snapshot_nonaccum_exploratory,2,presentation_floor_60hz,0.03603004664709752,0.3169639152985698,0.35299396194566734,7.0
current__snapshot_nonaccum_exploratory,2,combined_60hz_125hz,0.03613848083642583,0.3169639152985698,0.35310239613499567,7.0
current__snapshot_nonaccum_exploratory,3,raw,0.03709415022066908,0.3197755604717373,0.35686971069240636,7.0
current__snapshot_nonaccum_exploratory,3,presentation_floor_60hz,0.03693467278849009,0.3197755604717373,0.3567102332602274,7.0
current__snapshot_nonaccum_exploratory,3,combined_60hz_125hz,0.037076173164180916,0.3197755604717373,0.3568517336359182,7.0
current__snapshot_nonaccum_exploratory,4,raw,0.0373151840658498,0.3144167893928004,0.35173197345865015,7.0
current__snapshot_nonaccum_exploratory,4,presentation_floor_60hz,0.037189752505063865,0.3144167893928004,0.3516065418978642,7.0
current__snapshot_nonaccum_exploratory,4,combined_60hz_125hz,0.037302540803144324,0.3144167893928004,0.3517193301959447,7.0
current__snapshot_nonaccum_exploratory,5,raw,0.037091395124857526,0.3186987547541772,0.35579014987903473,7.0
current__snapshot_nonaccum_exploratory,5,presentation_floor_60hz,0.03706983093869041,0.3186987547541772,0.3557685856928676,7.0
current__snapshot_nonaccum_exploratory,5,combined_60hz_125hz,0.03694909707567326,0.3186987547541772,0.3556478518298505,7.0
current__snapshot_nonaccum_exploratory,6,raw,0.03531740543082146,0.3235173121708835,0.35883471760170493,7.0
current__snapshot_nonaccum_exploratory,6,presentation_floor_60hz,0.0353081433208042,0.3235173121708835,0.35882545549168765,7.0
current__snapshot_nonaccum_exploratory,6,combined_60hz_125hz,0.035313808303758194,0.3235173121708835,0.35883112047464166,7.0
current__snapshot_nonaccum_exploratory,7,raw,0.03641675207824899,0.3128153076121992,0.34923205969044824,7.0
current__snapshot_nonaccum_exploratory,7,presentation_floor_60hz,0.036269096858341184,0.3128153076121992,0.3490844044705404,7.0
current__snapshot_nonaccum_exploratory,7,combined_60hz_125hz,0.036413346295762636,0.3128153076121992,0.3492286539079619,7.0
current__snapshot_nonaccum_exploratory,8,raw,0.03696504805535401,0.3171045903129269,0.3540696383682809,7.0
current__snapshot_nonaccum_exploratory,8,presentation_floor_60hz,0.036867882279858134,0.3171045903129269,0.3539724725927851,7.0
current__snapshot_nonaccum_exploratory,8,combined_60hz_125hz,0.03689404004078725,0.3171045903129269,0.35399863035371415,7.0
current__snapshot_nonaccum_exploratory,9,raw,0.034152474062279725,0.31628603410632183,0.35043850816860156,7.0
current__snapshot_nonaccum_exploratory,9,presentation_floor_60hz,0.034036581469577686,0.31628603410632183,0.3503226155758995,7.0
current__snapshot_nonaccum_exploratory,9,combined_60hz_125hz,0.03406921988204847,0.31628603410632183,0.3503552539883703,7.0
saved_current_gate_execution_reference,0,raw,0.12395335656963483,0.01991988315177018,0.143873239721405,2.0
saved_current_gate_execution_reference,0,presentation_floor_60hz,0.12384847380464575,0.01991988315177018,0.14376835695641593,2.0
saved_current_gate_execution_reference,0,combined_60hz_125hz,0.12419044333643724,0.01991988315177018,0.14411032648820743,2.0
saved_current_gate_execution_reference,1,raw,0.12186863263193964,0.02233003642607223,0.14419866905801187,2.0
saved_current_gate_execution_reference,1,presentation_floor_60hz,0.12171895048135542,0.02233003642607223,0.14404898690742765,2.0
saved_current_gate_execution_reference,1,combined_60hz_125hz,0.122020471045325,0.02233003642607223,0.14435050747139722,2.0
saved_current_gate_execution_reference,2,raw,0.12374098150699123,0.024736946875932503,0.14847792838292373,2.0
saved_current_gate_execution_reference,2,presentation_floor_60hz,0.12362717923454644,0.024736946875932503,0.14836412611047894,2.0
saved_current_gate_execution_reference,2,combined_60hz_125hz,0.1238312829655829,0.024736946875932503,0.1485682298415154,2.0
saved_current_gate_execution_reference,3,raw,0.12488808589854207,0.023001247718544837,0.1478893336170869,2.0
saved_current_gate_execution_reference,3,presentation_floor_60hz,0.1247194038011781,0.023001247718544837,0.14772065151972294,2.0
saved_current_gate_execution_reference,3,combined_60hz_125hz,0.12500820548064281,0.023001247718544837,0.14800945319918765,2.0
saved_current_gate_execution_reference,4,raw,0.12343342896568363,0.018720098461259077,0.1421535274269427,2.0
saved_current_gate_execution_reference,4,presentation_floor_60hz,0.12346786260388057,0.018720098461259077,0.14218796106513965,2.0
saved_current_gate_execution_reference,4,combined_60hz_125hz,0.12354950731855133,0.018720098461259077,0.1422696057798104,2.0
saved_current_gate_execution_reference,5,raw,0.1236571107747821,0.02233565530219489,0.14599276607697698,2.0
saved_current_gate_execution_reference,5,presentation_floor_60hz,0.12359343595877213,0.02233565530219489,0.14592909126096704,2.0
saved_current_gate_execution_reference,5,combined_60hz_125hz,0.1237021000876447,0.02233565530219489,0.1460377553898396,2.0
saved_current_gate_execution_reference,6,raw,0.12460866895870823,0.021526541560143192,0.14613521051885142,2.0
saved_current_gate_execution_reference,6,presentation_floor_60hz,0.12452838104605216,0.021526541560143192,0.14605492260619535,2.0
saved_current_gate_execution_reference,6,combined_60hz_125hz,0.12476132786684653,0.021526541560143192,0.14628786942698974,2.0
saved_current_gate_execution_reference,7,raw,0.12380389807521189,0.021652752887369703,0.1454566509625816,2.0
saved_current_gate_execution_reference,7,presentation_floor_60hz,0.12361984580031868,0.021652752887369703,0.14527259868768838,2.0
saved_current_gate_execution_reference,7,combined_60hz_125hz,0.1239328931258997,0.021652752887369703,0.1455856460132694,2.0
