candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,raw,9,older_80_89,1,error,97,177,0.7599999904632568,0.98732192759673,0.212648667665005
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.03729682920330403
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,0,correct,2457,2450,0.55,0.5833333333333334,0.037415372986801546
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,0,error,45,52,0.5333333333333333,0.6,0.055334757834757824
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.2081331732052308
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,1,correct,2290,2162,0.6,0.85,0.22715461046769195
current_evidence__saved_gate_execution,presentation_floor_60hz,0,young_20_29,1,error,208,336,0.55,0.6666666666666666,0.11438873626373626
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.07859040786501931
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,0,correct,2484,2484,0.8166666666666667,0.8,0.08030059044551802
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,0,error,25,25,0.6833333333333333,0.6666666666666666,0.09933333333333334
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,1,all,2491,2491,0.9166666666666666,1.1,0.16854676836611807
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,1,correct,2394,2347,0.9333333333333333,1.1166666666666667,0.17025500597585919
current_evidence__saved_gate_execution,presentation_floor_60hz,0,older_80_89,1,error,97,144,0.75,0.9833333333333333,0.2014294578083238
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,0,all,2502,2502,0.55,0.5833333333333334,0.03833599786837198
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,0,correct,2457,2453,0.55,0.5833333333333334,0.0388331482501886
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,0,error,45,49,0.5333333333333333,0.5333333333333333,0.026613756613756614
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,1,all,2498,2498,0.6,0.8166666666666667,0.20915398985855346
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,1,correct,2290,2164,0.6,0.85,0.22762155370264245
current_evidence__saved_gate_execution,presentation_floor_60hz,1,young_20_29,1,error,208,334,0.55,0.6666666666666666,0.11788298403193612
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,0,all,2509,2509,0.8166666666666667,0.8,0.077129002258536
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,0,correct,2484,2488,0.8166666666666667,0.8,0.08038694159232168
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,0,error,25,21,0.6833333333333333,0.8,0.2636507936507937
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,1,all,2491,2491,0.9166666666666666,1.1,0.16428475846380303
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,1,correct,2394,2326,0.9333333333333333,1.1166666666666667,0.16800344345146823
current_evidence__saved_gate_execution,presentation_floor_60hz,1,older_80_89,1,error,97,165,0.75,0.9333333333333333,0.18792564823492655
