candidate_id,seed_id,analysis_group,congruency,n_subjects,n_human_trials,n_human_errors,n_model_errors,human_error_rate,model_error_rate,human_median_rt,model_median_rt,wasserstein_all_s,wasserstein_correct_s,wasserstein_error_s,estimability
current__factorial_gap_gate,6,older_80_89,1,4,1867,76,111,0.04088812742228673,0.059368657578368234,0.926375,1.1080859645182235,0.1666238456305119,0.16859384353322773,0.19196096290617723,ESTIMABLE
current__factorial_gap_gate,7,young_20_29,0,12,1874,32,29,0.015306845167956282,0.014103522821371478,0.5725416666666666,0.5847372918509817,0.033302667845485925,0.03410246337509008,0.03110806098769093,ESTIMABLE
current__factorial_gap_gate,7,young_20_29,1,12,1870,136,246,0.07327093606478158,0.1283920673243498,0.6257499999999999,0.8343046573381634,0.2131526179198559,0.2315332391225305,0.12253056263630949,ESTIMABLE
current__factorial_gap_gate,7,older_80_89,0,4,1883,19,11,0.01011926280264358,0.005647878603452144,0.8423749999999999,0.8108200129645264,0.08135086598643734,0.08394778941024117,0.16088975806332736,ESTIMABLE
current__factorial_gap_gate,7,older_80_89,1,4,1867,76,116,0.04088812742228673,0.06218323221789726,0.926375,1.1072243526597743,0.1618222765904599,0.1630031039355388,0.2017469980077163,ESTIMABLE
current__factorial_gap_gate,8,young_20_29,0,12,1874,32,42,0.015306845167956282,0.022844495965610574,0.5725416666666666,0.5851320045635128,0.03386108495407864,0.03461265053387289,0.0192449243918668,ESTIMABLE
current__factorial_gap_gate,8,young_20_29,1,12,1870,136,251,0.07327093606478158,0.1292966531940473,0.6257499999999999,0.8313199849194096,0.21078587926088074,0.22870438807476956,0.12652133105505578,ESTIMABLE
current__factorial_gap_gate,8,older_80_89,0,4,1883,19,16,0.01011926280264358,0.008665785412291876,0.8423749999999999,0.8022540865061347,0.08189255009445509,0.08426445953938849,0.15338746645429652,ESTIMABLE
current__factorial_gap_gate,8,older_80_89,1,4,1867,76,102,0.04088812742228673,0.054365897789320855,0.926375,1.1120664437163459,0.16658511535651793,0.167207830508253,0.20758011781163435,ESTIMABLE
current__factorial_gap_gate,9,young_20_29,0,12,1874,32,36,0.015306845167956282,0.015272335428424183,0.5725416666666666,0.5843900223360904,0.03353031112119441,0.033373828585121695,0.05502670432667084,ESTIMABLE
current__factorial_gap_gate,9,young_20_29,1,12,1870,136,250,0.07327093606478158,0.1271356150965386,0.6257499999999999,0.8349354488358046,0.2126096274467436,0.23179019036262655,0.11841158866446574,ESTIMABLE
current__factorial_gap_gate,9,older_80_89,0,4,1883,19,24,0.01011926280264358,0.012554002706689493,0.8423749999999999,0.803180402184968,0.08903304725930031,0.09294706729296977,0.29051721226042304,ESTIMABLE
current__factorial_gap_gate,9,older_80_89,1,4,1867,76,123,0.04088812742228673,0.06612879688784706,0.926375,1.119737789227035,0.16861200912227622,0.17077465697769162,0.21177144262206088,ESTIMABLE
current__factorial_joint_first_passage,0,young_20_29,0,12,1874,32,0,0.015306845167956282,0.0,0.5725416666666666,0.5870667930803213,0.034753345495506835,0.035035841729400524,,ESTIMABLE
current__factorial_joint_first_passage,0,young_20_29,1,12,1870,136,269,0.07327093606478158,0.13740590214091322,0.6257499999999999,0.8194132028454927,0.20231645498336062,0.22580385574620032,0.0968557856146666,ESTIMABLE
current__factorial_joint_first_passage,0,older_80_89,0,4,1883,19,0,0.01011926280264358,0.0,0.8423749999999999,0.804208573660173,0.08453835261386287,0.08771701407318144,,ESTIMABLE
