age_group,analysis_group,source,response_type,quantile_bin,median_rt,mean_rt,proportion,ci95_low,ci95_high,n_trials,n_participants
Older,older_80_89,Model,flanker,4,1.13042235,1.1409776457831329,0.2710843373493976,0.25054466230936817,0.30505050505050507,498,4
Older,older_80_89,Model,other,4,1.13042235,1.1409776457831329,0.0,0.0,0.0,498,4
Older,older_80_89,Model,target,5,1.4641958000000002,1.4979954993975904,0.7771084337349398,0.7599309153713298,0.7978494623655914,498,4
Older,older_80_89,Model,flanker,5,1.4641958000000002,1.4979954993975904,0.22289156626506024,0.2045929018789144,0.24006908462867013,498,4
Older,older_80_89,Model,other,5,1.4641958000000002,1.4979954993975904,0.0,0.0,0.0,498,4
Young,young_20_29,Human,target,1,0.488,0.4793720000000001,0.854,0.7132593667168134,0.9175909294424398,500,11
Young,young_20_29,Human,flanker,1,0.488,0.4793720000000001,0.138,0.08179284070279359,0.26086562839550886,500,11
Young,young_20_29,Human,other,1,0.488,0.4793720000000001,0.008,0.0,0.02531645569620253,500,11
Young,young_20_29,Human,target,2,0.551,0.5500360000000001,0.888,0.8495593529384262,0.9196370530877572,500,12
Young,young_20_29,Human,flanker,2,0.551,0.5500360000000001,0.102,0.07570219100339583,0.13866785969935574,500,12
Young,young_20_29,Human,other,2,0.551,0.5500360000000001,0.01,0.0,0.018561484918793503,500,12
Young,young_20_29,Human,target,3,0.604,0.60365,0.922,0.8984601001803706,0.9443120204603581,500,12
Young,young_20_29,Human,flanker,3,0.604,0.60365,0.068,0.048629855141925596,0.09464833039301124,500,12
Young,young_20_29,Human,other,3,0.604,0.60365,0.01,0.002754462388440289,0.014743454883445016,500,12
Young,young_20_29,Human,target,4,0.664,0.6649539078156312,0.9478957915831663,0.9220595936321743,0.9696155915147037,499,12
Young,young_20_29,Human,flanker,4,0.664,0.6649539078156312,0.04208416833667335,0.025202484678298404,0.0670736434108527,499,12
Young,young_20_29,Human,other,4,0.664,0.6649539078156312,0.01002004008016032,0.0008527827648114927,0.020562743108405206,499,12
Young,young_20_29,Human,target,5,0.772,0.8269919839679358,0.9719438877755511,0.9616093496597098,0.9808458244111349,499,12
Young,young_20_29,Human,flanker,5,0.772,0.8269919839679358,0.022044088176352707,0.012679701748739405,0.03132925724637681,499,12
Young,young_20_29,Human,other,5,0.772,0.8269919839679358,0.006012024048096192,0.0,0.01092557631160572,499,12
Young,young_20_29,Model,target,1,0.471617015,0.45942279958,0.62,0.5760056166149076,0.6954218522708906,500,12
Young,young_20_29,Model,flanker,1,0.471617015,0.45942279958,0.38,0.31363819615059907,0.4200216642130621,500,12
Young,young_20_29,Model,other,1,0.471617015,0.45942279958,0.0,0.0,0.0,500,12
Young,young_20_29,Model,target,2,0.56344415,0.56228187186,0.592,0.5356716996742333,0.6254669110553733,500,12
Young,young_20_29,Model,flanker,2,0.56344415,0.56228187186,0.408,0.3765756135283281,0.47309863523573203,500,12
Young,young_20_29,Model,other,2,0.56344415,0.56228187186,0.0,0.0,0.0,500,12
Young,young_20_29,Model,target,3,0.6302258000000001,0.6293400813200001,0.624,0.5827652998145477,0.6681583636675497,500,12
Young,young_20_29,Model,flanker,3,0.6302258000000001,0.6293400813200001,0.376,0.33026237989652624,0.4198900949963652,500,12
Young,young_20_29,Model,other,3,0.6302258000000001,0.6293400813200001,0.0,0.0,0.0,500,12
Young,young_20_29,Model,target,4,0.69540876,0.6971930329659318,0.6733466933867736,0.6458950046253469,0.7235004614674665,499,12
Young,young_20_29,Model,flanker,4,0.69540876,0.6971930329659318,0.32665330661322645,0.2688861447709747,0.3513791117368488,499,12
Young,young_20_29,Model,other,4,0.69540876,0.6971930329659318,0.0,0.0,0.0,499,12
Young,young_20_29,Model,target,5,0.8013806,0.8454380949298596,0.7555110220440882,0.7231186224489796,0.7995779978665571,499,12
Young,young_20_29,Model,flanker,5,0.8013806,0.8454380949298596,0.24448897795591182,0.1927229020979021,0.27801682574730635,499,12
Young,young_20_29,Model,other,5,0.8013806,0.8454380949298596,0.0,0.0,0.0,499,12
