age_group,analysis_group,trial_output_index,row_index,target_direction,flanker_direction,final_response,correct,rt,decision_time,t0,hard_first_crossing_channel,evidence_winner_at_crossing,state_winner_at_crossing,winner_runner_up_evidence_gap,winner_runner_up_state_gap,fallback_used,response_type,error_source_category,rt_quantile_bin
Older,older_80_89,61,22388,1,0,1,True,1.333750074640567,0.16,1.1737500746405671,0,0,0,0.5647523403167725,0.0638616606593132,False,target,correct,5
Older,older_80_89,62,67,0,2,2,False,1.3682057370672047,0.14,1.2282057370672046,2,2,2,0.6812320947647095,0.05601171404123306,False,flanker,evidence-origin,5
Older,older_80_89,64,15626,2,3,3,False,0.8387559133267898,0.14,0.6987559133267898,3,3,3,0.8467002511024475,0.06516862660646439,False,flanker,evidence-origin,2
Older,older_80_89,65,4422,2,3,2,True,0.6760535467849385,0.38,0.29605354678493845,3,3,3,0.13226637244224548,0.03604806959629059,False,target,correct,1
Older,older_80_89,66,17837,0,2,2,False,1.0940486279667776,0.18,0.9140486279667777,2,2,2,0.33406829833984375,0.0474824532866478,False,flanker,evidence-origin,4
Older,older_80_89,67,14940,1,3,1,True,1.2344064854420065,0.14,1.0944064854420064,3,3,3,0.44917401671409607,0.05417020618915558,False,target,correct,4
Older,older_80_89,68,9903,2,0,2,True,1.086513575697516,0.11,0.976513575697516,0,0,0,0.780078649520874,0.05281691998243332,False,target,correct,4
Older,older_80_89,70,22253,1,3,1,True,0.8938503004366172,0.14,0.7538503004366172,3,3,3,0.33865952491760254,0.047911636531353,False,target,correct,2
Older,older_80_89,71,26656,2,0,0,False,0.5963826009336403,0.1,0.4963826009336403,0,0,0,1.0917551517486572,0.05719449371099472,False,flanker,evidence-origin,1
Older,older_80_89,73,16948,3,0,3,True,0.953285090673041,0.14,0.813285090673041,0,0,0,0.880862295627594,0.06595074385404587,False,target,correct,3
Older,older_80_89,74,16163,3,2,3,True,1.7436155222553642,0.67,1.073615522255364,3,3,3,0.8235828280448914,0.04854392260313034,False,target,correct,5
Older,older_80_89,77,21180,1,3,3,False,0.9417129374423908,0.12,0.8217129374423908,3,3,3,0.7812644839286804,0.05677782744169235,False,flanker,evidence-origin,3
Older,older_80_89,79,16992,1,3,1,True,0.8492402769139377,0.08,0.7692402769139377,3,3,3,0.9150769710540771,0.04925820231437683,False,target,correct,2
Older,older_80_89,80,19772,3,1,1,False,0.6979451365003881,0.12,0.5779451365003881,1,1,1,0.7368866801261902,0.051714859902858734,False,flanker,evidence-origin,1
Older,older_80_89,82,6858,1,2,1,True,1.4383576243880816,0.63,0.8083576243880816,1,1,1,0.8026325106620789,0.061045967042446136,False,target,correct,5
Older,older_80_89,83,13487,2,3,2,True,1.0157286907628131,0.41000000000000003,0.6057286907628131,3,3,3,0.16372674703598022,0.028728879988193512,False,target,correct,3
