condition_id,variant,sign_family,fraction,beta,congruent_error_rate,incongruent_error_rate,congruent_wrong_leader_incidence,mean_commitment_time_s,error_minus_correct_rt_s,fastest_bin_incongruent_accuracy,pC_pre,response_repetition,dynamically_valid,h3_fast_accuracy_change,h3_pC_pre_change,h3_preserved,stage1_survivor
B2_24,B2,win_stay_lose_shift,0.5,0.75,0.0,0.05912930474333983,0.4774951076320939,0.18349609375,-0.08910255795864656,0.7068403908794788,0.9314242652599849,0.2722739361702128,False,-0.03583061889250816,-0.015313417829229459,True,False
B2_26,B2,error_only_carryover,0.1,0.25,0.0,0.05198180636777128,0.0,0.18673177083333334,-0.05966042780748665,0.742671009771987,0.9467376830892144,0.26429521276595747,True,0.0,0.0,True,False
B2_27,B2,error_only_carryover,0.1,0.5,0.0,0.05263157894736842,0.0,0.18666666666666668,-0.05946927201357158,0.739413680781759,0.9460359760159893,0.26429521276595747,True,-0.0032573289902280145,-0.000701707073225033,True,False
B2_28,B2,error_only_carryover,0.1,0.75,0.0,0.05263157894736842,0.0,0.186640625,-0.059949725720370994,0.742671009771987,0.945855614973262,0.26429521276595747,True,0.0,-0.0008820681159523724,True,False
B2_30,B2,error_only_carryover,0.25,0.25,0.0,0.05263157894736842,0.003913894324853229,0.18666015625,-0.05958938544027145,0.739413680781759,0.9460719041278296,0.26429521276595747,True,-0.0032573289902280145,-0.0006657789613847553,True,False
B2_31,B2,error_only_carryover,0.25,0.5,0.0,0.05263157894736842,0.003913894324853229,0.18663736979166667,-0.05969278204985326,0.739413680781759,0.9460719041278296,0.26429521276595747,True,-0.0032573289902280145,-0.0006657789613847553,True,False
B2_32,B2,error_only_carryover,0.25,0.75,0.0,0.05328135152696556,0.0045662100456621,0.18656250000000005,-0.060619626396932885,0.7361563517915309,0.9451871657754011,0.26496010638297873,True,-0.006514657980456029,-0.0015505173138132822,True,False
B2_34,B2,error_only_carryover,0.5,0.25,0.0,0.05328135152696556,0.014350945857795172,0.1865787760416667,-0.05950868749490171,0.739413680781759,0.9453333333333334,0.2646276595744681,True,-0.0032573289902280145,-0.0014043497558809959,True,False
B2_35,B2,error_only_carryover,0.5,0.5,0.0,0.05328135152696556,0.016960208741030658,0.18652669270833333,-0.06070813280039156,0.7361563517915309,0.9451871657754011,0.2646276595744681,True,-0.006514657980456029,-0.0015505173138132822,True,False
B2_36,B2,error_only_carryover,0.5,0.75,0.0,0.05523066926575698,0.030006523157208087,0.18632812500000004,-0.06143988656728175,0.7296416938110749,0.943029490616622,0.26496010638297873,True,-0.013029315960912058,-0.003708192472592353,True,False
