condition_id,lag,n,risk_after_correct,risk_after_error,delta
B2_08,2,2831,0.027213352685050797,0.02666666666666667,-0.0005466860183841286
B2_08,3,2728,0.027871939736346517,0.0273972602739726,-0.0004746794623739156
B2_08,4,2631,0.02849336455893833,0.028985507246376812,0.0004921426874384821
B2_08,5,2536,0.02674230145867099,0.07352941176470588,0.0467871103060349
B2_10,1,2944,0.029411764705882353,0.022727272727272728,-0.006684491978609625
B2_10,2,2831,0.030203784570596796,0.024096385542168676,-0.0061073990284281204
B2_10,3,2728,0.030589123867069485,0.0375,0.006910876132930514
B2_10,4,2631,0.03131115459882583,0.02631578947368421,-0.004995365125141621
B2_10,5,2536,0.030056864337936636,0.06756756756756757,0.03751070322963093
B2_11,1,2944,0.030133146461107218,0.022222222222222223,-0.007910924238884995
B2_11,2,2831,0.030214779759737895,0.047619047619047616,0.01740426785930972
B2_11,3,2728,0.030966767371601207,0.05,0.019033232628398795
B2_11,4,2631,0.03209393346379648,0.02631578947368421,-0.005778143990112269
B2_11,5,2536,0.03127538586515029,0.06756756756756757,0.036292181702417284
B2_12,1,2944,0.03376714737952867,0.039603960396039604,0.005836813016510935
B2_12,2,2831,0.03361344537815126,0.07446808510638298,0.040854639728231716
B2_12,3,2728,0.035253980288097043,0.05555555555555555,0.02030157526745851
B2_12,4,2631,0.03614931237721022,0.046511627906976744,0.010362315529766526
B2_12,5,2536,0.03505911129229515,0.08433734939759036,0.049278238105295205
B2_14,1,2944,0.025453277545327755,0.013157894736842105,-0.01229538280848565
B2_14,2,2831,0.026439695762404927,0.014285714285714285,-0.012153981476690641
B2_14,3,2728,0.02593010146561443,0.029850746268656716,0.003920644803042286
B2_14,4,2631,0.0264797507788162,0.031746031746031744,0.005266280967215545
B2_14,5,2536,0.024646464646464646,0.08196721311475409,0.05732074846828945
B2_15,1,2944,0.025095852213314743,0.013333333333333334,-0.011762518879981409
B2_15,2,2831,0.02606806661839247,0.014492753623188406,-0.011575312995204064
B2_15,3,2728,0.025544703230653644,0.030303030303030304,0.00475832707237666
B2_15,4,2631,0.026080186843129623,0.03225806451612903,0.006177877672999408
B2_15,5,2536,0.024242424242424242,0.08196721311475409,0.057724788872329846
B2_16,1,2944,0.025095852213314743,0.013333333333333334,-0.011762518879981409
B2_16,2,2831,0.02606806661839247,0.014492753623188406,-0.011575312995204064
B2_16,3,2728,0.025544703230653644,0.030303030303030304,0.00475832707237666
B2_16,4,2631,0.026080186843129623,0.03225806451612903,0.006177877672999408
B2_16,5,2536,0.024242424242424242,0.08196721311475409,0.057724788872329846
B2_18,1,2944,0.027263194687172317,0.024096385542168676,-0.0031668091450036406
B2_18,2,2831,0.02795933188090051,0.025974025974025976,-0.0019853059068745335
B2_18,3,2728,0.02824858757062147,0.0273972602739726,-0.0008513272966488676
B2_18,4,2631,0.02849336455893833,0.028985507246376812,0.0004921426874384821
B2_18,5,2536,0.027147487844408427,0.07352941176470588,0.046381923920297455
B2_19,1,2944,0.026517794836008374,0.0,-0.026517794836008374
B2_19,2,2831,0.026458861906487857,0.027777777777777776,0.001318915871289919
B2_19,3,2728,0.02671181339352897,0.02857142857142857,0.0018596151778995998
B2_19,4,2631,0.02729044834307992,0.030303030303030304,0.0030125819599503834
B2_19,5,2536,0.025900445163901255,0.07692307692307693,0.05102263175917567
B2_20,1,2944,0.026159748866410884,0.0,-0.026159748866410884
B2_20,2,2831,0.02572463768115942,0.04225352112676056,0.016528883445601144
B2_20,3,2728,0.026325686348251224,0.028985507246376812,0.002659820898125588
B2_20,4,2631,0.027279812938425563,0.015384615384615385,-0.011895197553810178
B2_20,5,2536,0.026294498381877023,0.046875,0.020580501618122977
B2_22,1,2944,0.029401470073503674,0.011494252873563218,-0.017907217199940456
B2_22,2,2831,0.029829028737722807,0.024390243902439025,-0.005438784835283782
B2_22,3,2728,0.03020007550018875,0.0379746835443038,0.007774608044115047
B2_22,4,2631,0.030907668231611892,0.02666666666666667,-0.004241001564945224
B2_22,5,2536,0.029650690495532088,0.06756756756756757,0.03791687707203548
B2_23,1,2944,0.028681357117873382,0.011764705882352941,-0.01691665123552044
B2_23,2,2831,0.028716830243547802,0.0375,0.008783169756452196
B2_23,3,2728,0.029788838612368026,0.02631578947368421,-0.003473049138683817
B2_23,4,2631,0.03048065650644783,0.013888888888888888,-0.016591767617558942
B2_23,5,2536,0.03002028397565923,0.056338028169014086,0.026317744193354857
B2_24,1,2944,0.03046218487394958,0.0,-0.03046218487394958
B2_24,2,2831,0.029829028737722807,0.04878048780487805,0.018951459067155244
B2_24,3,2728,0.03095507738769347,0.02531645569620253,-0.005638621691490937
B2_24,4,2631,0.032081377151799685,0.0,-0.032081377151799685
B2_24,5,2536,0.030450669914738125,0.0684931506849315,0.03804248077019338
B2_26,1,2944,0.026168876482903,0.01282051282051282,-0.01334836366239018
B2_26,2,2831,0.027183762232693004,0.013888888888888888,-0.013294873343804116
B2_26,3,2728,0.026701767581797667,0.028985507246376812,0.002283739664579145
B2_26,4,2631,0.027279812938425563,0.03076923076923077,0.0034894178308052075
B2_26,5,2536,0.025060630557801132,0.0967741935483871,0.07171356299058596
B2_27,1,2944,0.026527050610820245,0.012658227848101266,-0.01386882276271898
B2_27,2,2831,0.02719361856417694,0.0273972602739726,0.00020364170979566068
B2_27,3,2728,0.02708803611738149,0.02857142857142857,0.0014833924540470812
B2_27,4,2631,0.027680311890838208,0.030303030303030304,0.002622718412192096
B2_27,5,2536,0.02547513141932875,0.09523809523809523,0.06976296381876648
B2_28,1,2944,0.026527050610820245,0.012658227848101266,-0.01386882276271898
B2_28,2,2831,0.02719361856417694,0.0273972602739726,0.00020364170979566068
B2_28,3,2728,0.02708803611738149,0.02857142857142857,0.0014833924540470812
