condition_id,previous_outcome,n,error_match,error_nonmatch,alignment_effect_nonmatch_minus_match,response_repetition,error_response_repetition,conditional_chance
B1_33,correct,2927,0.02204928664072633,0.027829313543599257,0.005780026902872926,0.2640929279125384,0.24675324675324675,0.2597402597402597
B1_33,error,81,0.0,0.03333333333333333,0.03333333333333333,0.2839506172839506,1.0,0.3333333333333333
B2_02,correct,2930,0.01950585175552666,0.027764923646459973,0.008259071890933313,0.2645051194539249,0.28,0.2666666666666666
B2_02,error,78,0.0,0.017543859649122806,0.017543859649122806,0.28205128205128205,1.0,0.3333333333333333
B2_03,correct,2931,0.01950585175552666,0.0272895467160037,0.007783694960477039,0.2644148754691232,0.28378378378378377,0.2657657657657657
B2_03,error,77,0.0,0.017857142857142856,0.017857142857142856,0.2857142857142857,1.0,0.3333333333333333
B2_04,correct,2932,0.01950585175552666,0.026814609338881183,0.0073087575833545235,0.26432469304229195,0.2876712328767123,0.2648401826484018
B2_04,error,76,0.0,0.01818181818181818,0.01818181818181818,0.2894736842105263,1.0,0.3333333333333333
B2_06,correct,2925,0.018300653594771243,0.03009259259259259,0.011791938997821348,0.26666666666666666,0.3670886075949367,0.27426160337552735
B2_06,error,83,0.0,0.03225806451612903,0.03225806451612903,0.26506024096385544,0.5,0.3333333333333333
B2_07,correct,2930,0.018276762402088774,0.02911275415896488,0.010835991756876107,0.2665529010238908,0.37662337662337664,0.2727272727272727
B2_07,error,78,0.0,0.0,0.0,0.2692307692307692,,
B2_08,correct,2927,0.022193211488250653,0.029153169828782972,0.00695995834053232,0.2658011615989067,0.3625,0.2625
B2_08,error,81,0.0,0.0,0.0,0.2839506172839506,,
B2_10,correct,2919,0.01832460732984293,0.03341067285382831,0.015086065523985379,0.27029804727646456,0.45348837209302323,0.2790697674418604
B2_10,error,89,0.0,0.030303030303030304,0.030303030303030304,0.2696629213483146,0.5,0.3333333333333333
B2_11,correct,2917,0.0196078431372549,0.03392193308550186,0.014314089948246955,0.271169009256085,0.4659090909090909,0.27651515151515155
B2_11,error,91,0.0,0.030303030303030304,0.030303030303030304,0.2857142857142857,0.5,0.3333333333333333
B2_12,correct,2906,0.019762845849802372,0.03865859338612017,0.018895747536317797,0.27426015141087406,0.5408163265306123,0.28231292517006806
B2_12,error,102,0.0,0.05333333333333334,0.05333333333333334,0.30392156862745096,1.0,0.3333333333333333
B2_14,correct,2930,0.01950585175552666,0.027764923646459973,0.008259071890933313,0.2645051194539249,0.28,0.2666666666666666
B2_14,error,78,0.0,0.017543859649122806,0.017543859649122806,0.28205128205128205,1.0,0.3333333333333333
B2_15,correct,2931,0.01950585175552666,0.0272895467160037,0.007783694960477039,0.2644148754691232,0.28378378378378377,0.2657657657657657
B2_15,error,77,0.0,0.017857142857142856,0.017857142857142856,0.2857142857142857,1.0,0.3333333333333333
