condition_id,transition,risk_after_correct,risk_after_error,delta
B2_31,generic,0.026648445507345405,0.012345679012345678,-0.014302766494999727
B2_31,C_to_C,0.0,,
B2_31,I_to_C,0.0,0.0,0.0
B2_31,C_to_I,0.05859375,,
B2_31,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B2_32,generic,0.026999316473000683,0.012195121951219513,-0.01480419452178117
B2_32,C_to_C,0.0,,
B2_32,I_to_C,0.0,0.0,0.0
B2_32,C_to_I,0.059895833333333336,,
B2_32,I_to_I,0.04969879518072289,0.023809523809523808,-0.025889271371199084
B2_34,generic,0.026657552973342446,0.024390243902439025,-0.0022673090709034206
B2_34,C_to_C,0.0,,
B2_34,I_to_C,0.0,0.0,0.0
B2_34,C_to_I,0.05859375,,
B2_34,I_to_I,0.04962406015037594,0.04878048780487805,-0.000843572345497888
B2_35,generic,0.026657552973342446,0.024390243902439025,-0.0022673090709034206
B2_35,C_to_C,0.0,,
B2_35,I_to_C,0.0,0.0,0.0
B2_35,C_to_I,0.05859375,,
B2_35,I_to_I,0.04962406015037594,0.04878048780487805,-0.000843572345497888
B2_36,generic,0.027369141293191925,0.03529411764705882,0.007924976353866898
B2_36,C_to_C,0.0,,
B2_36,I_to_C,0.0,0.0,0.0
B2_36,C_to_I,0.0625,,
B2_36,I_to_I,0.048411497730711045,0.06666666666666667,0.01825516893595562
