null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,35,C_to_I,0.0026067911204648657
participant_current_condition_only,35,I_to_I,0.0015660224075820196
participant_current_condition_only,36,C_to_C,0.002991300534033185
participant_current_condition_only,36,I_to_C,0.002074787095850891
participant_current_condition_only,36,C_to_I,0.001584014947699818
participant_current_condition_only,36,I_to_I,0.0026563199679089508
participant_current_condition_only,37,C_to_C,0.0011133333639713847
participant_current_condition_only,37,I_to_C,5.9938761056489985e-05
participant_current_condition_only,37,C_to_I,0.0064134566265289196
participant_current_condition_only,37,I_to_I,0.00038500794803994747
participant_current_condition_only,38,C_to_C,0.000697986885604772
participant_current_condition_only,38,I_to_C,0.0006211749665139643
participant_current_condition_only,38,C_to_I,0.008854438308003457
participant_current_condition_only,38,I_to_I,-0.0007823418309429233
participant_current_condition_only,39,C_to_C,0.0010122870397760437
participant_current_condition_only,39,I_to_C,0.0018834130932478092
participant_current_condition_only,39,C_to_I,0.00555346022855533
participant_current_condition_only,39,I_to_I,0.0044460357563690794
participant_current_condition_only,40,C_to_C,0.0028867729879659496
participant_current_condition_only,40,I_to_C,0.0015806459381757798
participant_current_condition_only,40,C_to_I,0.004954478464345086
participant_current_condition_only,40,I_to_I,0.0031471287930579617
participant_current_condition_only,41,C_to_C,0.0008831427462688868
participant_current_condition_only,41,I_to_C,0.0010424026687197911
participant_current_condition_only,41,C_to_I,0.0006106131999941367
participant_current_condition_only,41,I_to_I,0.001180876766573684
participant_current_condition_only,42,C_to_C,0.002193809956560896
participant_current_condition_only,42,I_to_C,0.0012215010489325928
participant_current_condition_only,42,C_to_I,0.009074576511290006
participant_current_condition_only,42,I_to_I,0.002744058101191924
participant_current_condition_only,43,C_to_C,0.0015339376274591554
participant_current_condition_only,43,I_to_C,0.0005469016138058162
participant_current_condition_only,43,C_to_I,0.003993539035600197
participant_current_condition_only,43,I_to_I,0.002861596761689013
participant_current_condition_only,44,C_to_C,0.00185786508157101
participant_current_condition_only,44,I_to_C,0.0006744416158972549
participant_current_condition_only,44,C_to_I,0.0061279375082488015
participant_current_condition_only,44,I_to_I,0.0011891677237576678
participant_current_condition_only,45,C_to_C,0.001239479406794581
participant_current_condition_only,45,I_to_C,0.002009828074198931
participant_current_condition_only,45,C_to_I,0.003389904796572624
participant_current_condition_only,45,I_to_I,0.0024607016466034254
participant_current_condition_only,46,C_to_C,0.0011707074767270875
participant_current_condition_only,46,I_to_C,0.0009489698819122814
participant_current_condition_only,46,C_to_I,0.004343608759194182
participant_current_condition_only,46,I_to_I,0.0034887615986931085
participant_current_condition_only,47,C_to_C,0.0010845363222837757
participant_current_condition_only,47,I_to_C,0.0013376167319497127
participant_current_condition_only,47,C_to_I,0.00401995171904016
participant_current_condition_only,47,I_to_I,0.0031114877796659234
participant_current_condition_only,48,C_to_C,0.0019516687502122217
participant_current_condition_only,48,I_to_C,0.0015325741543536452
participant_current_condition_only,48,C_to_I,0.004690924244975201
participant_current_condition_only,48,I_to_I,0.0031165552896121104
participant_current_condition_only,49,C_to_C,0.0013552947280729586
participant_current_condition_only,49,I_to_C,0.0009358694633723989
participant_current_condition_only,49,C_to_I,0.006236703718702832
participant_current_condition_only,49,I_to_I,0.0025691355632331114
participant_current_condition_only,50,C_to_C,0.0013323805019621409
participant_current_condition_only,50,I_to_C,0.00056768160718927
participant_current_condition_only,50,C_to_I,0.003677112264327657
participant_current_condition_only,50,I_to_I,0.000895222898202182
participant_current_condition_only,51,C_to_C,0.0014904139889735815
participant_current_condition_only,51,I_to_C,0.0021295969625788227
participant_current_condition_only,51,C_to_I,0.004124448968750265
participant_current_condition_only,51,I_to_I,0.004554622541304201
participant_current_condition_only,52,C_to_C,0.001107214421920479
participant_current_condition_only,52,I_to_C,0.001339022785438537
participant_current_condition_only,52,C_to_I,0.003338154963545943
participant_current_condition_only,52,I_to_I,0.0007614282568818363
participant_current_condition_only,53,C_to_C,0.0009096922872749111
participant_current_condition_only,53,I_to_C,0.0012713198408453212
participant_current_condition_only,53,C_to_I,0.0028989151773355284
participant_current_condition_only,53,I_to_I,0.002504634816502928
participant_current_condition_only,54,C_to_C,0.0009160237926234368
participant_current_condition_only,54,I_to_C,0.0002449195494240043
participant_current_condition_only,54,C_to_I,0.0037264354421967455
participant_current_condition_only,54,I_to_I,0.003237692075905683
participant_current_condition_only,55,C_to_C,0.000926563940785146
participant_current_condition_only,55,I_to_C,0.0007156896577748752
participant_current_condition_only,55,C_to_I,0.00437671227809557
participant_current_condition_only,55,I_to_I,0.0010314371975713638
participant_current_condition_only,56,C_to_C,0.0011867125004478426
participant_current_condition_only,56,I_to_C,0.0005935496269037022
participant_current_condition_only,56,C_to_I,0.004638286726431113
participant_current_condition_only,56,I_to_I,0.0018447425811492532
participant_current_condition_only,57,C_to_C,0.0021129217275274183
participant_current_condition_only,57,I_to_C,0.0005224710511136645
participant_current_condition_only,57,C_to_I,0.005900873267650181
participant_current_condition_only,57,I_to_I,-3.2289328343437226e-05
participant_current_condition_only,58,C_to_C,0.0014332153958000527
participant_current_condition_only,58,I_to_C,0.0013981647476986802
participant_current_condition_only,58,C_to_I,0.001834712906651091
participant_current_condition_only,58,I_to_I,0.0027874672718616812
participant_current_condition_only,59,C_to_C,0.0009094179874234376
participant_current_condition_only,59,I_to_C,0.0012722817041970773
participant_current_condition_only,59,C_to_I,0.002173058502801919
participant_current_condition_only,59,I_to_I,0.000943774992850074
