analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,2,0.4,0.18731776,0.07674832,0.003
young_20_29,2,0.41000000000000003,0.19255622,0.076599985,0.003
young_20_29,2,0.42,0.1963688,0.075753614,0.003
young_20_29,2,0.43,0.20092818,0.07559656,0.003
young_20_29,2,0.44,0.2077639,0.07399888,0.003
young_20_29,2,0.45,0.21342075,0.07245898,0.003
young_20_29,2,0.46,0.21799928,0.07173306,0.003
young_20_29,2,0.47000000000000003,0.22470383,0.07115868,0.003
young_20_29,2,0.48,0.23121688,0.06982632,0.003
young_20_29,2,0.49,0.23743981,0.06856308,0.003
young_20_29,2,0.5,0.24228525,0.06761641,0.003
young_20_29,2,0.51,0.24940212,0.066098705,0.003
young_20_29,2,0.52,0.25680578,0.06513656,0.003
young_20_29,2,0.53,0.26588178,0.06451974,0.003
young_20_29,2,0.54,0.27457276,0.06401517,0.003
young_20_29,2,0.55,0.28231236,0.06272732,0.003
young_20_29,2,0.56,0.2922373,0.061316356,0.003
young_20_29,2,0.5700000000000001,0.30299813,0.060009263,0.003
young_20_29,2,0.58,0.31206894,0.058464438,0.003
young_20_29,2,0.59,0.32331845,0.057097517,0.003
young_20_29,2,0.6,0.33294907,0.05581756,0.003
young_20_29,2,0.61,0.34106454,0.0544069,0.003
young_20_29,2,0.62,0.3517556,0.0535598,0.003
young_20_29,2,0.63,0.3632793,0.05215716,0.003
young_20_29,2,0.64,0.3741458,0.051129885,0.003
young_20_29,2,0.65,0.3882661,0.04999418,0.003
young_20_29,2,0.66,0.40249124,0.04858875,0.003
young_20_29,2,0.67,0.41462258,0.04792948,0.003
young_20_29,2,0.68,0.4252663,0.047029622,0.003
young_20_29,2,0.6900000000000001,0.43855864,0.045506116,0.003
young_20_29,2,0.7000000000000001,0.45588627,0.04439481,0.003
young_20_29,2,0.71,0.4689449,0.04385026,0.003
young_20_29,2,0.72,0.48354924,0.042804603,0.003
young_20_29,2,0.73,0.49765515,0.04144164,0.003
young_20_29,2,0.74,0.51035565,0.041106258,0.003
young_20_29,2,0.75,0.52128047,0.039886817,0.003
young_20_29,2,0.76,0.5309931,0.038884014,0.003
young_20_29,2,0.77,0.5447207,0.03804013,0.003
young_20_29,2,0.78,0.5447479,0.037654344,0.003
young_20_29,2,0.79,0.545767,0.037069704,0.003
young_20_29,3,0.0,0.10057852,0.1001251,0.003
young_20_29,3,0.01,0.100678824,0.10094057,0.003
young_20_29,3,0.02,0.100980565,0.1016096,0.003
young_20_29,3,0.03,0.102255434,0.10235164,0.003
young_20_29,3,0.04,0.102951646,0.10322543,0.003
young_20_29,3,0.05,0.102848135,0.10255584,0.003
young_20_29,3,0.06,0.10328389,0.10411426,0.003
young_20_29,3,0.07,0.10380505,0.105061635,0.003
young_20_29,3,0.08,0.105599135,0.10431552,0.003
young_20_29,3,0.09,0.10668431,0.10418257,0.003
young_20_29,3,0.1,0.10813194,0.10501072,0.003
young_20_29,3,0.11,0.11058996,0.10556596,0.003
young_20_29,3,0.12,0.11231482,0.10499463,0.003
young_20_29,3,0.13,0.113646485,0.10387295,0.003
young_20_29,3,0.14,0.11543913,0.103257686,0.003
young_20_29,3,0.15,0.11615859,0.102522604,0.003
young_20_29,3,0.16,0.117664896,0.10092527,0.003
young_20_29,3,0.17,0.11896709,0.09998226,0.003
young_20_29,3,0.18,0.12153818,0.09947239,0.003
young_20_29,3,0.19,0.124551676,0.09888155,0.003
young_20_29,3,0.2,0.12695654,0.09761139,0.003
young_20_29,3,0.21,0.1298827,0.097161375,0.003
young_20_29,3,0.22,0.13285175,0.095899105,0.003
young_20_29,3,0.23,0.13461111,0.09369624,0.003
young_20_29,3,0.24,0.13753453,0.09250365,0.003
young_20_29,3,0.25,0.13869902,0.09269008,0.003
young_20_29,3,0.26,0.1413837,0.09107842,0.003
young_20_29,3,0.27,0.14515685,0.09042391,0.003
young_20_29,3,0.28,0.1490578,0.08944751,0.003
